id,line,text,labels
2323,1,nato and russia pretend not to be afraid,Doubt
2323,3,there be so many angle from which one can view the war in ukraine . i 've do my good to cover they up to get a sense of why we be here ... head into a much large conflict .,"Appeal_to_Fear-Prejudice,Obfuscation-Vagueness-Confusion"
2323,5,"despite my deep cynicism , i be essentially an optimist . i tend to see outcome that move humanity far away from any sort of final solution . and sometimes that mean look beyond the condition of the current conflict and see it in the broad context of what humanity be try to accomplish .",Obfuscation-Vagueness-Confusion
2323,7,"so remember , this be my bias . there be a solution even if thing seem bleak , for humanity have always shrink from the bad of its excess when personally confront with they , at least for a few generation , until the memory fade .",Exaggeration-Minimisation
2323,9,"during world war ii , the good guy , the allies , defeat the bad guy , the axis , but especially the nazis . i be not one of those who subscribe to this caricature of event . i know the problem run much deep than that .","False_Dilemma-No_Choice,Loaded_Language"
2323,11,"during the war , propaganda on both side reach the height of reductionism . the other side represent evil .",Exaggeration-Minimisation
2323,12,"putin , meanwhile , call ukrainians both brother of russia and nazi , exaggerate the genocide of russians in donbass . while in the united states , we call russians name that we would normally reserve for the ant that invade our kitchen .",Guilt_by_Association
2323,14,"this conflict between west and east be a conflict of civilization where each side use word in very specific way , which create the opportunity for this type of reductive propaganda . in the podcast i make with he , joaquin flores try to elucidate this idea from the russian point of view .","Appeal_to_Authority,Obfuscation-Vagueness-Confusion"
2323,16,"he explain what russian foreign minister sergei lavrov mean by the word "" neutral "" as it relate to ukraine . for lavrov and russia , neutral mean be part of the great russian union state , make ukraine a partner of russia on par with belarus and soon kazakhstan .",Obfuscation-Vagueness-Confusion
2323,18,"the united states and the rabid ant of british intelligence , who develop the talking point for this war , define neutrality like the swiss : non - align , a buffer state . and this gap in the definition be use cynically by nato and the west who promote this idea that the russians be not fulfil their international obligation . which allow they to justify their assistance in the heroic defense of ukraine against a hostile invader .","Loaded_Language,Name_Calling-Labeling,Obfuscation-Vagueness-Confusion"
2323,20,and russia be now a hostile invader . it be a fact .,Conversation_Killer
2323,22,promote this simplistic narrative ignore the last eight year in ukraine as well as nato 's progress in europe over the last 30 year .,"Loaded_Language,Whataboutism"
2323,24,but therein lie the unbridgeable gap between east and west .,False_Dilemma-No_Choice
2323,26,"the fault for this divide lie squarely with nato and the west , which have progress steadily until reach the russian border in donbass . discuss this topic in any other term be pathetic and just an excuse to express one 's inherent racism and bloodlust towards the russians .","Causal_Oversimplification,Loaded_Language,Obfuscation-Vagueness-Confusion,Questioning_the_Reputation"
2323,30,you do not support the right to self - determination of a people act freely here . ukraine be a crucial puppet state for an aggressive war of conquest wage by the very people who inflict two year of covid deprivation and humiliation on you and now want to exploit you as tax cattle while you live in an impassable orwellian panopticon .,"Loaded_Language,Name_Calling-Labeling,Obfuscation-Vagueness-Confusion,Whataboutism"
2323,32,"russia 's list of grievance be as long as any bill go through a congressional committee these day . but the most important be the attempt to overthrow belarus and kazakhstan . these two pivotal country be victim of fail revolution aim at overthrow exist government and instal nato - control puppet , try to replicate the "" victory "" in ukraine in 2014 .","Name_Calling-Labeling,Obfuscation-Vagueness-Confusion"
2323,34,"not only do they fail miserably , but above all they reinforce the objective of russia , which wish to bring the former soviet republic back into its orbit and put an end to their flirtation with the west . the only remain soviet republic be ukraine , the baltics simply have no strategic importance .","Exaggeration-Minimisation,Loaded_Language"
2323,36,"to discuss this war other than in these term be to deliberately miss the point . and our neoconservative in the state department and the white house have resolutely pursue foreign policy in this way , display a level of ingenuity and stupidity that , frankly , can not be describe without recourse to sailor swear .","Conversation_Killer,Loaded_Language"
2323,38,"this can only lead to the conclusion i have make many time . this war be choose by the west . it be design that way . all "" attempt "" at diplomacy by nato , uk , france and usa be nothing more than exercise to buy time to strengthen ukraine to launch a blitz attack in donbass and sanction russia for simply retaliate .","Conversation_Killer,Exaggeration-Minimisation,Straw_Man"
23124,1,the plague of corruption : this rampant corruption be there to hide scientific truth from the public,"Causal_Oversimplification,Loaded_Language"
23124,3,""" this rampant corruption be there to hide scientific truth from the public "" ( prof. luc montagnier , nobel prize winner , about this book ) .","Causal_Oversimplification,Loaded_Language"
