sentence,label
"HALC and QPP will also be hosting information evenings covering ‘   ’ and ‘, ,   ’.",neutral
Add your support to our Bill ensuring increased protections for renters across the state via the link in comments,persuasive
"Around 4,300 businesses in Gilmore will be able to access this bonus deduction.",neutral
Cheaper childcare will help ease cost of living pressures on Australian families.,persuasive
A great asset for our community,persuasive
"This election, the Greens are fighting for mental and dental health to be introduced to our Medicare system.",persuasive
Coomera Station Commuter Car Park - State Project not completed.,neutral
Now his own MPs are backtracking on the promise to reach net zero emissions.,persuasive
57% of the children that we have locked up today are Aboriginal children.,persuasive
It's time we move this lot on.,persuasive
I’m very proud that we are helping deliver these important services to people in our community.,persuasive
"Through fires, floods and pandemics, I have fought to make sure that local businesses like Cassegrain Winery continue to grow and thrive, continue to be able to employ staff, to attract tourists and ultimately strengthen our local economy.",persuasive
"Today, we feature Deputy Mayor of the City of Willoughby, Councillor Brendon Zhu.",neutral
"Last time Labor were in power, Tassie’s unemployment rate was 8% Scary isn’t it?",persuasive
Please sign the petition now and ensure that doctors like Miranda are not criminalised for guaranteeing people’s access to healthcare under the law.,persuasive
"Cast: $0, real people.",neutral
"We are keen to listen to your opinion, suggestions and help to achieve our goal to restore freedom, end vaccine mandate and start economic recovery.",persuasive
He's not your mate!,persuasive
"* Armidale Regional Council - NSW (ARC) * Whitsunday Regional Council (WRC) ARC:- * Net Worth B$1.07 * Population 33,000 * Area of 8,621 km square  * Population Density 3.83 * 11 Councillors including Mayor  WRC:- * Net Worth B$1.2 * Population 34,000 * Area of 23,819 km square  * Population Density 1.43 * 7 Councillors including Mayor.",neutral
Your Freedom Defender Gary Biggs- Liberal Democrats Candidate for Richmond was in the air again with us over Richmond today.,persuasive
The only way to get rid of Scott Morrison is to vote Labor.,persuasive
I’ll also work hard to have recommendations of the Australian Small Business and Family Enterprise Ombudsman implemented.,persuasive
The good news?,neutral
"‼ Don't be fooled by the Morrison government - if it wanted to, it could absolutely afford better aged care!",persuasive
This comment from a local Maleny resident shows just how out of touch Andrew Wallace really is.,persuasive
"The Minister for Veterans Shaun Leane MP joined me in visiting the memorial, pictured here.",neutral
"Countless men have stayed back to defend their country, breaking apart their families.",persuasive
"Vote #1   United Australia Party Vote #1  Joshua Lawrence Berrigan in these suburbs:    BILINGA   BONOGIN   BURLEIGH   CLEAR ISLAND WATERS   COOLANGATTA   CURRUMBIN   ELANORA   KIRRA    MERRIMAC   MIAMI   MUDGEERABA   PALM BEACH   REEDY CREEK   ROBINA   TALLEBUDGERA   TUGUN   VARSITY LAKES    Learn more: https://www.joshuaberrigan.com.au/  *This message was authorised by Joshua Lawrence Berrigan for the United Australia Party, Merrimac",neutral
We have a mental health crisis in Australia.,persuasive
Brunker wanting to run amuck a 2nd time.,persuasive
