id,line,text,labels
779394730,9,"the report ’s release begin an information war , with prosecutor and many victim say it ’ the start of hold church leader at the top accountable for the first time , while church lawyer and other advocate for the institution say the report depict an era of another century , unfairly smear today ’s catholicism in pennsylvania .",Loaded_Language
779394730,11,"the report have help renew a crisis many in the church think and hope have end nearly 20 year ago after the scandal erupt in boston . but recent abuse - relate scandal , from chile to australia , have reopen wound question about accountability and whether church official be still cover up crime at the high level .","Doubt,Loaded_Language"
779394730,13,"the new wave of allegation have call pope francis ’s handling of abuse into question as many catholics look to he to help the church regain its credibility . the pope ’s track record have be mixed , something some outsider attribute to his learning curve or shortcoming and other chalk up to resistance from a notoriously change - averse institution .","Doubt,Name_Calling-Labeling"
779394730,15,"the pennsylvania grand jury report follow the resignation last month of cardinal theodore mccarrick , a tower figure in the u.s. church and former d.c. archbishop who be accuse of sexually abuse minor and adult for decade . both have far polarize the church on homosexuality , celibacy and whether laypeople should have more power . it have also trigger debate about whether statute of limitation should be expand .",Exaggeration-Minimisation
779394730,17,""" we ’re deal with a long - term struggle not only about the meaning of justice , but about the meaning of memory , "" say jason berry , a reporter and author who have cover the sexual abuse crisis for decade . "" and how honest the church have be about this crisis . most bishop , besides apology , have not be on the cut edge of change . ""","Doubt,Loaded_Language"
779394730,19,"church official begin brace for the aftermath of the report . on monday , d.c. ’s archbishop , cardinal donald wuerl , former longtime leader of the pittsburgh diocese , warn his priest in a letter that the probe will be "" profoundly disturbing . """,Loaded_Language
779394730,20,"remnant comment : the report also show that "" more than 90 ' offender ' will be list "" in donald cardinal wuerl ’s former diocese , which be ironic since wuerl be one of pope francis ’s close u.s. adviser and sit on the vatican ’s bishop oversight committee . well play , cardinal wuerl !",Loaded_Language
779394730,21,"so , let i get this straight ( i know , lot of luck with that one ): these be the people that be go to "" accompany we "" and our child in the "" synodal church "" with its new orientation , oversee by a "" god of surprises "" who be uber - merciful and do not judge , and head up by a pope who , accord to father thomas rosica , "" break catholic tradition whenever he want , because he be ' free from disordered attachment ' ? ''","Appeal_to_Authority,Doubt,Loaded_Language,Name_Calling-Labeling"
779394730,22,you do not say !,Loaded_Language
779394730,23,"all this and rampant homosexuality in the priesthood , too ... along with a "" trivialize liturgy "" ( accord to pope benedict xvi ) and widespread apostasy among the faithful ? remind i again : what exactly have vatican ii and the last fifty year of aggiornamento give we ? because i can not seem to think of a darn thing , apart from heretical homily , sodomitical clergy and an increasingly lavend liturgy .","Doubt,Loaded_Language"
